"filename", "language", "Dart", "comment", "blank", "total"
"d:\Inzynierka\shopify_client\lib\application\auth\auth_bloc.dart", "Dart", 30, 1, 3, 34
"d:\Inzynierka\shopify_client\lib\application\auth\auth_bloc.freezed.dart", "Dart", 576, 33, 97, 706
"d:\Inzynierka\shopify_client\lib\application\auth\auth_event.dart", "Dart", 6, 0, 2, 8
"d:\Inzynierka\shopify_client\lib\application\auth\auth_state.dart", "Dart", 7, 0, 2, 9
"d:\Inzynierka\shopify_client\lib\application\auth\sign_in_form\sign_in_form_bloc.dart", "Dart", 80, 3, 8, 91
"d:\Inzynierka\shopify_client\lib\application\auth\sign_in_form\sign_in_form_bloc.freezed.dart", "Dart", 927, 36, 121, 1084
"d:\Inzynierka\shopify_client\lib\application\auth\sign_in_form\sign_in_form_event.dart", "Dart", 13, 0, 2, 15
"d:\Inzynierka\shopify_client\lib\application\auth\sign_in_form\sign_in_form_state.dart", "Dart", 18, 0, 3, 21
"d:\Inzynierka\shopify_client\lib\domain\auth\auth_failure.dart", "Dart", 10, 0, 3, 13
"d:\Inzynierka\shopify_client\lib\domain\auth\auth_failure.freezed.dart", "Dart", 498, 24, 75, 597
"d:\Inzynierka\shopify_client\lib\domain\auth\i_auth_facade.dart", "Dart", 17, 0, 3, 20
"d:\Inzynierka\shopify_client\lib\domain\auth\user.dart", "Dart", 9, 0, 3, 12
"d:\Inzynierka\shopify_client\lib\domain\auth\user.freezed.dart", "Dart", 100, 15, 27, 142
"d:\Inzynierka\shopify_client\lib\domain\auth\value_objects.dart", "Dart", 20, 0, 7, 27
"d:\Inzynierka\shopify_client\lib\domain\core\errors.dart", "Dart", 11, 0, 4, 15
"d:\Inzynierka\shopify_client\lib\domain\core\failures.dart", "Dart", 10, 2, 3, 15
"d:\Inzynierka\shopify_client\lib\domain\core\failures.freezed.dart", "Dart", 462, 21, 74, 557
"d:\Inzynierka\shopify_client\lib\domain\core\value_objects.dart", "Dart", 30, 2, 10, 42
"d:\Inzynierka\shopify_client\lib\domain\core\value_validators.dart", "Dart", 19, 1, 6, 26
"d:\Inzynierka\shopify_client\lib\infrastructure\auth\firebase_auth_facade.dart", "Dart", 81, 1, 8, 90
"d:\Inzynierka\shopify_client\lib\infrastructure\auth\firebase_user_mapper.dart", "Dart", 8, 0, 2, 10
"d:\Inzynierka\shopify_client\lib\infrastructure\core\firebase_injectable_module.dart", "Dart", 10, 2, 2, 14
"d:\Inzynierka\shopify_client\lib\injection.config.dart", "Dart", 26, 6, 6, 38
"d:\Inzynierka\shopify_client\lib\injection.dart", "Dart", 8, 0, 4, 12
"d:\Inzynierka\shopify_client\lib\main.dart", "Dart", 22, 0, 4, 26
"d:\Inzynierka\shopify_client\lib\presentation\core\app_widget.dart", "Dart", 63, 0, 3, 66
"d:\Inzynierka\shopify_client\lib\presentation\routes\router.dart", "Dart", 12, 1, 2, 15
"d:\Inzynierka\shopify_client\lib\presentation\routes\router.gr.dart", "Dart", 21, 9, 10, 40
"d:\Inzynierka\shopify_client\lib\presentation\sign_in\sign_in_page.dart", "Dart", 98, 1, 3, 102
"d:\Inzynierka\shopify_client\lib\presentation\sign_in\widgets\google_sign_in_button.dart", "Dart", 39, 0, 3, 42
"d:\Inzynierka\shopify_client\lib\presentation\sign_in\widgets\sign_in_form.dart", "Dart", 141, 0, 3, 144
"d:\Inzynierka\shopify_client\lib\presentation\splash\splash_page.dart", "Dart", 0, 0, 1, 1
"Total", "-", 3372, 158, 504, 4034
